央视频道,#genre#
﻿CCTV1,http://223.105.252.60/PLTV/4/224/3221227375/index.m3u8
CCTV2,http://223.105.252.60/PLTV/4/224/3221227427/index.m3u8
CCTV3,http://223.105.252.60/PLTV/4/224/3221227424/index.m3u8
CCTV4,http://223.105.252.60/PLTV/4/224/3221227378/index.m3u8
CCTV5,http://223.105.252.60/PLTV/4/224/3221227298/index.m3u8
CCTV5+,http://223.105.252.60/PLTV/4/224/3221227381/index.m3u8
CCTV6,http://223.105.252.60/PLTV/4/224/3221227301/index.m3u8
CCTV7,http://223.105.252.60/PLTV/4/224/3221227314/index.m3u8
CCTV8,http://223.105.252.60/PLTV/4/224/3221227304/index.m3u8
CCTV9,http://223.105.252.60/PLTV/4/224/3221227704/index.m3u8
CCTV10,http://223.105.252.60/PLTV/3/224/3221227620/index.m3u8
CCTV11,http://223.105.252.60/PLTV/4/224/3221227384/index.m3u8
CCTV12,http://223.105.252.60/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://223.105.252.60/PLTV/4/224/3221227387/index.m3u8
CCTV14,http://223.105.252.60//PLTV/3/224/3221227693/index.m3u8
CCTV15,http://223.105.252.60/PLTV/4/224/3221225817/index.m3u8
CCTV16,http://223.105.252.60/PLTV/3/224/3221228112/1.m3u8
CCTV17,http://223.105.252.60/PLTV/4/224/3221227578/index.m3u8
CGTN,http://223.105.252.60/PLTV/4/224/3221225917/index.m3u8
数字付费,#genre#
第一院线,http://223.105.252.60/PLTV/4/224/3221227579/index.m3u8
影视剧场,http://223.105.252.60/PLTV/4/224/3221227512/index.m3u8
都市剧场,http://223.105.252.60/PLTV/4/224/3221227710/index.m3u8
咪咕奥运,http://223.105.252.60/PLTV/3/224/3221228182/index.m3u8
移动转播1,http://223.105.252.60/PLTV/3/224/3221228167/index.m3u8
移动转播2,http://223.105.252.60/PLTV/3/224/3221228105/index.m3u8
地方卫视,#genre#
江苏卫视,http://223.105.252.60/PLTV/4/224/3221227402/index.m3u8
湖南卫视,http://223.105.252.60/PLTV/4/224/3221227320/index.m3u8
浙江卫视,http://223.105.252.60/PLTV/4/224/3221227393/index.m3u8
